date,portfolio_id,p05,p25,median,p75,p95
2027-05-08 17:06:17.142857144,Balanced,347094.4863106644,398125.6100560207,428969.8047796646,461970.51695342094,509915.36798802414
2027-05-10 03:53:08.571428572,Balanced,346384.3121758578,398344.36339451163,429112.97896388324,462107.9346054627,511325.59139339643
2027-05-11 14:40:00.000000000,Balanced,347425.90809471236,398577.0382916722,429627.25555756805,462691.169732895,511604.16714516183
2027-05-13 01:26:51.428571428,Balanced,347030.42224070494,398875.51342273643,430223.14226896194,463117.26238688175,512414.88987056544
2027-05-14 12:13:42.857142860,Balanced,347043.0656177118,399175.6695793744,430387.9589782773,463727.267005963,512676.2233958178
2027-05-15 23:00:34.285714288,Balanced,347232.3089978082,398989.08900491544,430836.46130102756,464320.6037265407,512718.9726075501
2027-05-17 09:47:25.714285716,Balanced,346587.4472809764,399113.8988293239,431251.05532429286,464740.4418830606,513471.9625311191
2027-05-18 20:34:17.142857144,Balanced,347319.5994902005,399582.33182559983,431720.66230324516,464820.2212893884,514088.03108718037
2027-05-20 07:21:08.571428572,Balanced,346914.3071207924,399345.7530716255,432094.0454172238,465114.1062464991,515217.15657063044
2027-05-21 18:08:00.000000000,Balanced,346873.9716679374,399517.07268171455,432118.7896522966,465916.4749877825,515934.897689327
2027-05-23 04:54:51.428571428,Balanced,347216.13879915734,399595.3389506703,432918.82233224047,466548.85597307526,516257.1709433792
2027-05-24 15:41:42.857142860,Balanced,346720.075348021,399932.2961248709,432671.79702074325,466899.4551917698,517839.4326991478
2027-05-26 02:28:34.285714288,Balanced,346049.9587027821,400202.5890548234,433079.1379751188,467003.9123244983,518018.0591602914
2027-05-27 13:15:25.714285716,Balanced,346330.38764672866,400611.53454660985,433242.4725908163,467852.55097282864,517561.29132023826
2027-05-29 00:02:17.142857144,Balanced,346755.31602755055,400263.0201905887,433489.3532575248,467861.1803001758,519009.94022981136
2027-05-30 10:49:08.571428572,Balanced,346523.9705941395,400568.73422411236,434149.8121611929,468236.79749945644,520005.2322430123
2027-05-31 21:36:00.000000000,Balanced,345988.62107091537,400523.11223422125,434375.4210435983,469218.1027819405,521172.70870623615
2027-06-02 08:22:51.428571428,Balanced,346458.6997565819,400268.5875372622,434674.9810307184,469536.1761567625,521104.4808966873
2027-06-03 19:09:42.857142860,Balanced,346155.5772863632,400061.180797514,434802.91315025464,470185.17023891426,520739.20679441665
2027-06-05 05:56:34.285714288,Balanced,345740.92329449067,400735.84662227746,435024.67232365743,470582.11999739625,521325.9648432317
2027-06-06 16:43:25.714285716,Balanced,346422.21668704733,401027.93374640326,435682.86010333826,470958.7760812355,521549.241559892
2027-06-08 03:30:17.142857144,Balanced,346470.92143360607,401166.7081032273,435706.72478680057,471046.9525104405,522877.758985544
2027-06-09 14:17:08.571428572,Balanced,346272.2187866745,401196.57105070335,436344.73705685674,471418.17771865113,523259.60138965916
