date,ticker,adjusted_price,volume
2024-02-20,RY.TO,122.2202377319336,8807200
2024-02-21,RY.TO,121.63014221191406,5452700
2024-02-22,RY.TO,121.98973083496094,3096800
2024-02-23,RY.TO,122.83804321289062,3743100
2024-02-26,RY.TO,122.00819396972656,13886700
2024-02-27,RY.TO,120.993896484375,5346500
2024-02-28,RY.TO,120.72648620605469,3827100
2024-02-29,RY.TO,121.52870178222656,9318200
2024-03-01,RY.TO,121.65779113769531,1860400
2024-03-04,RY.TO,121.63014221191406,1145700
2024-03-05,RY.TO,122.7458267211914,1822900
2024-03-06,RY.TO,122.4692153930664,2618700
2024-03-07,RY.TO,123.38206481933594,1591400
2024-03-08,RY.TO,123.53881072998047,1205800
2024-03-11,RY.TO,124.35945892333984,1185600
2024-03-12,RY.TO,125.1431884765625,1702500
2024-03-13,RY.TO,125.55816650390625,1387900
2024-03-14,RY.TO,124.47012329101562,3027800
2024-03-15,RY.TO,124.13816833496094,10079100
2024-03-18,RY.TO,123.8707504272461,1675100
2024-03-19,RY.TO,123.63102722167969,3179100
2024-03-20,RY.TO,124.811279296875,3866200
2024-03-21,RY.TO,125.89009857177734,5607800
2024-03-22,RY.TO,124.71905517578125,2511700
2024-03-25,RY.TO,124.54387664794922,2681600
2024-03-26,RY.TO,124.22113800048828,3507200
2024-03-27,RY.TO,125.61345672607422,2110200
2024-03-28,RY.TO,125.97306060791016,2782100
2024-04-01,RY.TO,125.47512817382812,2468100
2024-04-02,RY.TO,124.63606262207031,2446300
2024-04-03,RY.TO,125.11555480957031,2377000
2024-04-04,RY.TO,126.11140441894531,4032600
2024-04-05,RY.TO,128.26904296875,4121600
2024-04-08,RY.TO,129.04356384277344,5402300
2024-04-09,RY.TO,128.61019897460938,2213600
2024-04-10,RY.TO,127.31930541992188,2965800
2024-04-11,RY.TO,126.55398559570312,2814100
2024-04-12,RY.TO,125.087890625,3804000
2024-04-15,RY.TO,124.47012329101562,8064100
2024-04-16,RY.TO,122.73661041259766,5618900
2024-04-17,RY.TO,122.91181182861328,8474100
2024-04-18,RY.TO,123.1146469116211,7993900
2024-04-19,RY.TO,124.08283233642578,13526400
2024-04-22,RY.TO,125.33684539794922,12311700
2024-04-23,RY.TO,125.77942657470703,5806700
2024-04-24,RY.TO,124.1772689819336,8748100
2024-04-25,RY.TO,124.3263168334961,9280700
2024-04-26,RY.TO,124.9504165649414,6968000
2024-04-29,RY.TO,124.82930755615234,3947900
2024-04-30,RY.TO,124.06549072265625,4501700
2024-05-01,RY.TO,124.79205322265625,6341200
2024-05-02,RY.TO,126.44078063964844,5130500
2024-05-03,RY.TO,128.89993286132812,6327900
2024-05-06,RY.TO,129.60787963867188,7016600
2024-05-07,RY.TO,129.15142822265625,7241700
2024-05-08,RY.TO,130.30648803710938,3922700
2024-05-09,RY.TO,131.30320739746094,2383500
2024-05-10,RY.TO,131.41497802734375,2226900
2024-05-13,RY.TO,133.18479919433594,6972700
2024-05-14,RY.TO,132.58863830566406,4738400
2024-05-15,RY.TO,133.6878204345703,3391200
2024-05-16,RY.TO,134.4330291748047,2713200
2024-05-17,RY.TO,135.38311767578125,4338300
2024-05-21,RY.TO,134.6286163330078,6445800
2024-05-22,RY.TO,135.0757293701172,5696400
2024-05-23,RY.TO,133.82754516601562,6206800
2024-05-24,RY.TO,134.0604248046875,1870100
2024-05-27,RY.TO,134.27462768554688,586600
2024-05-28,RY.TO,133.4921875,2946500
2024-05-29,RY.TO,131.30320739746094,2878400
2024-05-30,RY.TO,138.1123809814453,6475100
2024-05-31,RY.TO,138.7737579345703,3991600
2024-06-03,RY.TO,137.93540954589844,3064700
2024-06-04,RY.TO,136.8828125,3698100
2024-06-05,RY.TO,136.64064025878906,3262400
2024-06-06,RY.TO,137.04116821289062,3193500
2024-06-07,RY.TO,136.32394409179688,1872800
2024-06-10,RY.TO,136.1935272216797,3242700
2024-06-11,RY.TO,134.9639434814453,1838500
2024-06-12,RY.TO,134.90805053710938,2885500
2024-06-13,RY.TO,133.58534240722656,1881800
2024-06-14,RY.TO,133.08233642578125,2647700
2024-06-17,RY.TO,132.5327606201172,3192800
2024-06-18,RY.TO,132.6352081298828,2698100
2024-06-19,RY.TO,132.0483856201172,2650600
2024-06-20,RY.TO,131.8248291015625,2897100
2024-06-21,RY.TO,132.29989624023438,9731300
2024-06-24,RY.TO,135.1595458984375,3989400
2024-06-25,RY.TO,135.2899932861328,3007500
2024-06-26,RY.TO,134.79629516601562,2376800
2024-06-27,RY.TO,135.43902587890625,3453200
2024-06-28,RY.TO,135.67189025878906,3775200
2024-07-02,RY.TO,136.90147399902344,6132700
2024-07-03,RY.TO,138.99732971191406,3786800
2024-07-04,RY.TO,139.3140411376953,1674000
2024-07-05,RY.TO,138.05650329589844,4788800
2024-07-08,RY.TO,138.8855438232422,4399200
2024-07-09,RY.TO,139.20223999023438,5275000
2024-07-10,RY.TO,140.5249786376953,4800000
2024-07-11,RY.TO,140.05921936035156,2766600
2024-07-12,RY.TO,141.1956329345703,3845100
2024-07-15,RY.TO,141.1304168701172,5389600
2024-07-16,RY.TO,140.74850463867188,2542200
2024-07-17,RY.TO,142.81643676757812,5599800
2024-07-18,RY.TO,143.21697998046875,8725100
2024-07-19,RY.TO,142.18301391601562,10742300
2024-07-22,RY.TO,143.04000854492188,8307900
2024-07-23,RY.TO,141.81973266601562,10546600
2024-07-24,RY.TO,141.782470703125,11139300
2024-07-25,RY.TO,142.46885681152344,19095600
2024-07-26,RY.TO,143.98269653320312,12298300
2024-07-29,RY.TO,143.56898498535156,9711500
2024-07-30,RY.TO,144.70669555664062,4566300
2024-07-31,RY.TO,145.0640106201172,2521700
2024-08-01,RY.TO,143.26808166503906,5982300
2024-08-02,RY.TO,140.06178283691406,3543600
2024-08-06,RY.TO,139.11212158203125,8849800
2024-08-07,RY.TO,138.91468811035156,8594700
2024-08-08,RY.TO,140.28744506835938,3764200
2024-08-09,RY.TO,140.88919067382812,1710600
2024-08-12,RY.TO,139.87374877929688,4145700
2024-08-13,RY.TO,141.14308166503906,3362600
2024-08-14,RY.TO,142.44065856933594,4446000
